,Intersection Point,Profit
0,"(0.0, 50.457912201895056)",581427.61
1,"(0.0, 60.531251464880114)",707549.57
2,"(0.0, 91.47168625899928)",1079182.61
3,"(0.0, 99.66063446080166)",1177090.56
4,"(0.0, 99.97122302158272)",1180758.19
5,"(0.0, 101.28175407896573)",1196238.04
6,"(0.0, 101.95318363116745)",1203659.38
7,"(0.0, 102.88307904321178)",1212476.88
8,"(0.0, 111.2415670253284)",1271712.07
9,"(0.0, 113.24475524475527)",1274907.35
10,"(0.0, 130.2345864661654)",1353526.47
11,"(0.0, 136.20338983050848)",1401532.07
12,"(0.0, 142.14150943396228)",1453111.32
13,"(0.0, 145.0)",1482335.0
14,"(0.0, 145.78676470588235)",1484692.57
15,"(0.0, 149.0)",1508178.0
16,"(0.0, 189.2831116849575)",1816360.37
17,"(0.0, 202.56268067772137)",1888492.1
18,"(0.0, 206.2844803618342)",1922570.1
19,"(0.0, 234.38360992036178)",2097263.63
20,"(0.0, 244.4087208245685)",2171327.65
21,"(0.0, 250.24948597130324)",2206951.44
22,"(0.0, 251.63991875543525)",2214431.88
23,"(0.0, 257.5971984382859)",2257324.17
24,"(0.0, 258.3179226123272)",2260024.74
25,"(0.0, 261.9398970828334)",2280973.28
26,"(0.0, 270.3958493091286)",2312426.41
27,"(0.0, 273.941662871017)",2314805.39
28,"(0.0, 287.41552963547)",2378364.7
29,"(0.0, 345.5474266033195)",2482066.71
30,"(0.0, 497.5194896629518)",2447299.12
31,"(0.03800010254710884, 99.31879878185785)",1171367.71
32,"(0.10294492446507775, 99.90906622682536)",1180563.01
33,"(0.11556590912101683, 270.3958493091286)",2313379.23
34,"(0.11890879902001572, 99.66063446080166)",1177709.39
35,"(0.12967520380277264, 57.95818506933989)",677133.72
36,"(0.14059125094779068, 99.61459501597851)",1175287.51
37,"(0.1491427080155816, 138.64850438219747)",1422566.62
38,"(0.19640026749805628, 138.79133683972475)",1423514.69
39,"(0.26313744537620387, 311.80246297192144)",2470557.81
40,"(0.28220722495500894, 311.58347571507875)",2469927.55
41,"(0.28302170049447994, 99.75)",1179619.26
42,"(0.3421331784829249, 99.33333333333331)",1173123.71
43,"(0.45791381752415816, 142.14150943396228)",1456201.18
44,"(0.4913943652780901, 99.56593932159657)",1176548.45
45,"(0.5277531201672954, 93.17456170317847)",1102860.58
46,"(0.5366251213150219, 93.02698523068716)",1101165.47
47,"(0.545441173062386, 359.64612749910134)",2486933.85
48,"(0.5554272246773877, 141.85973780665157)",1453981.13
49,"(0.6363280703257246, 141.1505229782853)",1450365.36
50,"(0.648532729592791, 136.85828182433988)",1412604.91
51,"(0.7108619203645787, 136.6348429919414)",1410718.36
52,"(0.7573341797115063, 99.66063446080166)",1179051.2
53,"(0.7852183586420267, 148.68302222204198)",1519517.05
54,"(0.7962904352587734, 88.70772394768012)",1049934.01
55,"(0.8008669624453191, 141.1505229782853)",1451471.19
56,"(0.8118784875888707, 142.521062523286)",1462469.21
57,"(0.9041813342767995, 140.85198906868868)",1449108.22
58,"(0.9149229233604981, 304.317703471484)",2451065.21
59,"(0.9302106559331094, 243.62549800796813)",2172772.68
60,"(0.9346885424633697, 270.3958493091286)",2320129.62
61,"(0.968654262520829, 116.33112585478742)",1302768.94
62,"(0.9738030852377975, 309.39053899105625)",2480275.74
63,"(0.9756075079665827, 135.68577812772668)",1402859.46
64,"(1.0038644645550043, 303.2963458807965)",2443040.1
65,"(1.0103296999900877, 202.56268067772137)",1896149.71
66,"(1.0850730708289547, 142.14150943396228)",1460433.32
67,"(1.1049971689340623, 285.70133362477236)",2382689.82
68,"(1.1454140696344446, 96.97941324536714)",1149472.05
69,"(1.1875663466659319, 249.45420125118812)",2213713.55
70,"(1.1891333058748046, 114.8819985613181)",1294844.12
71,"(1.1983184209706899, 134.88739994010933)",1398134.62
72,"(1.2223381163824438, 300.78751008076034)",2432608.39
73,"(1.252164808306759, 201.94063463592977)",1892583.85
74,"(1.328227623324553, 299.5715310203912)",2423739.25
75,"(1.332033380872776, 299.5278277147368)",2423421.95
76,"(1.334209866961638, 124.89571860438872)",1338241.97
77,"(1.3879346451043713, 114.05431877883373)",1291788.99
78,"(1.416820058530583, 13.560491405562063)",149998.18
79,"(1.525941199707951, 228.6317718856424)",2080374.8
80,"(1.542751349143586, 139.00679754586443)",1434774.88
81,"(1.5460828415965793, 137.3106689965275)",1423253.46
82,"(1.5593125070793974, 266.30917718937354)",2301184.81
83,"(1.6229196987749859, 230.92063123932365)",2098859.73
84,"(1.628476937135078, 74.86517068862602)",899595.74
85,"(1.7745666090073655, 188.9740928244521)",1825991.77
86,"(1.811893840706503, 113.93400341379851)",1292652.46
87,"(1.9827366541589537, 299.5715310203912)",2428259.95
88,"(2.0206420744570153, 137.1475586667423)",1424207.4
89,"(2.0515299584605877, 139.57321999417616)",1443036.18
90,"(2.0891481185705167, 154.39521383117867)",1557145.25
91,"(2.1361169681027548, 285.36071412367875)",2387473.86
92,"(2.2688663967642526, 288.76973313781815)",2391123.03
93,"(2.2998815494525076, 284.17540071410735)",2384394.49
94,"(2.3406330091581644, 130.79240954065293)",1375128.61
95,"(2.350512549874165, 8.942598800876647)",107855.71
96,"(2.350512549874165, 32.825613589892576)",365649.8
